,eval_loss,eval_f1,eval_acc,eval_f0_5,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.6798591017723083,0.26947052196770555,0.6949444897447156,0.34197483797178796,0.9652,81.852,10.361,1.0,133,,,,,,,
1,0.6511498689651489,0.33982558139534885,0.7151100796587844,0.43823805060918464,0.9517,83.012,10.508,2.0,266,,,,,,,
2,0.6168701648712158,0.3950756507847007,0.7981245687762655,0.4461708269655289,0.9405,83.995,10.632,3.0,399,,,,,,,
3,,,,,,,,3.76,500,0.6483,1.49874686716792e-05,,,,,
4,0.6090219020843506,0.4135258211413623,0.8101674716176378,0.4592012394560166,0.9324,84.726,10.725,4.0,532,,,,,,,
5,0.5956419706344604,0.4262202043132804,0.8097597691776955,0.47962702771746074,0.9451,83.587,10.581,5.0,665,,,,,,,
6,0.613527238368988,0.4342520513359983,0.8313366367684878,0.4602827706168323,0.9516,83.015,10.508,6.0,798,,,,,,,
7,0.5889399647712708,0.441402077871638,0.81957598946246,0.4895752563108469,0.9496,83.191,10.53,7.0,931,,,,,,,
8,,,,,,,,7.52,1000,0.5746,9.974937343358396e-06,,,,,
9,0.5923195481300354,0.4464267815976746,0.8267891864768236,0.486414467936397,0.9469,83.431,10.561,8.0,1064,,,,,,,
10,0.5852510929107666,0.44895132568262763,0.8253151853478016,0.4927681014637536,0.9406,83.993,10.632,9.0,1197,,,,,,,
11,0.586201548576355,0.4519569373176376,0.8291726776641787,0.4913800647589044,0.9349,84.498,10.696,10.0,1330,,,,,,,
12,0.5741443634033203,0.4544144490344894,0.8218967571975162,0.5069885096895901,0.9427,83.806,10.608,11.0,1463,,,,,,,
13,,,,,,,,11.28,1500,0.5572,4.962406015037594e-06,,,,,
14,0.5898431539535522,0.4569714522134878,0.8353509377156119,0.4890847097374131,0.9438,83.701,10.595,12.0,1596,,,,,,,
15,0.5797919034957886,0.45594405594405596,0.829204039390328,0.49770992366412226,0.9426,83.809,10.609,13.0,1729,,,,,,,
16,0.5839154720306396,0.45767706533888836,0.8326224675406134,0.4948145544032343,0.9466,83.459,10.564,14.0,1862,,,,,,,
17,,,,,,,,14.0,1862,,,336.1716,47.163,5.934,3753460086362112.0,0.5850555551039289
18,0.6114730834960938,0.45477536447485867,0.8066932144835043,0.5001308814868136,1.1858,81.801,10.963,14.0,1862,,,,,,,
