,eval_loss,eval_accuracy,eval_f1_score_avg,eval_f1_score_macro,eval_f1_score_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.8127667903900146,0.8325026284023208,0.8325026284023208,0.10095515347265754,0.7564088755507238,2.9621,89.802,5.739,1.0,67,,,,,,,
1,0.5471161603927612,0.832541567695962,0.832541567695962,0.10119897597887656,0.7565027428988866,2.9602,89.859,5.743,2.0,134,,,,,,,
2,0.3289130628108978,0.9082979634749425,0.9082979634749425,0.39955772302627574,0.8899277822919234,2.9657,89.693,5.732,3.0,201,,,,,,,
3,0.21230442821979523,0.938222810638215,0.938222810638215,0.5304352367197791,0.9270774053646323,2.9759,89.386,5.713,4.0,268,,,,,,,
4,0.16427147388458252,0.948619602040419,0.948619602040419,0.6101742403250037,0.9431334407785124,2.9745,89.427,5.715,5.0,335,,,,,,,
5,0.13897636532783508,0.955550796308555,0.955550796308555,0.687742601946117,0.9520739838309648,2.9843,89.133,5.696,6.0,402,,,,,,,
6,0.1255272924900055,0.9603597990732448,0.9603597990732448,0.7345849433450854,0.9580378456779189,2.9671,89.65,5.73,7.0,469,,,,,,,
7,,,,,,,,,7.46,500,0.4867,3.0149253731343288e-05,,,,,
8,0.11508964747190475,0.9643510766714691,0.9643510766714691,0.7641313598540196,0.9630512104549993,3.0057,88.497,5.656,8.0,536,,,,,,,
9,0.10768555104732513,0.9664343288812741,0.9664343288812741,0.7801106866271473,0.9652596715808786,2.963,89.773,5.737,9.0,603,,,,,,,
10,0.10243397206068039,0.9685370507378996,0.9685370507378996,0.7945063947424604,0.9677373563079906,2.9684,89.612,5.727,10.0,670,,,,,,,
11,0.09867732971906662,0.9690237919084148,0.9690237919084148,0.7978079892810795,0.9682003588033372,2.9932,88.867,5.68,11.0,737,,,,,,,
12,0.09704404324293137,0.9693353062575445,0.9693353062575445,0.8009236555457353,0.9685911795945948,2.986,89.082,5.693,12.0,804,,,,,,,
13,0.09446725994348526,0.9702893189517542,0.9702893189517542,0.8056031439205529,0.969516529689037,2.9702,89.557,5.724,13.0,871,,,,,,,
14,0.09378699958324432,0.9701725010708305,0.9701725010708305,0.805910134230293,0.9695110768142791,2.9997,88.677,5.667,14.0,938,,,,,,,
15,,,,,,,,,14.93,1000,0.1133,2.9850746268656716e-07,,,,,
16,0.09322479367256165,0.9706008333008839,0.9706008333008839,0.8074113066301954,0.9699091343366852,2.9856,89.095,5.694,15.0,1005,,,,,,,
17,,,,,,,,,15.0,1005,,,361.6748,43.838,2.779,4021826565657600.0,0.2990352879709272
18,0.10639648884534836,0.9672445353720254,0.9672445353720254,0.8110954825736776,0.9672791411779027,2.7147,89.512,5.894,15.0,1005,,,,,,,
