,eval_loss,eval_rmse,eval_pearson,eval_spearman,eval_kappa,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.013146940618753433,4.651119232177734,0.6190645792577629,0.6305344394360997,0.49268858800773696,0.6109,129.315,16.369,1.0,133,,,,,,,
1,0.014809614047408104,4.820840835571289,0.6396228723869738,0.6248489327072037,0.5332688825461129,0.6149,128.485,16.264,2.0,266,,,,,,,
2,0.01879030093550682,5.494531154632568,0.6464633771924695,0.62760961491862,0.5260587343799148,0.6199,127.443,16.132,3.0,399,,,,,,,
3,,,,,,,,,3.76,500,0.0238,4.87218045112782e-05,,,,,
4,0.0181037075817585,5.396904945373535,0.6567049185285331,0.6374916443419548,0.5342757920544411,0.6091,129.705,16.418,4.0,532,,,,,,,
5,0.023780429735779762,6.201265811920166,0.6252297606660372,0.6046019037807411,0.3848710588399362,0.613,128.879,16.314,5.0,665,,,,,,,
6,0.021435586735606194,5.898938179016113,0.6699066496921288,0.6517707700438257,0.44210637035911615,0.6042,130.745,16.55,6.0,798,,,,,,,
7,0.03834216669201851,7.849856853485107,0.6613836224036183,0.6437531847152969,0.31753301862283045,0.6073,130.087,16.467,7.0,931,,,,,,,
8,,,,,,,,,7.52,1000,0.0167,3.744360902255639e-05,,,,,
9,0.0154261514544487,4.961879730224609,0.6853767688617957,0.6580910346207649,0.5407476878440133,0.6135,128.766,16.3,8.0,1064,,,,,,,
10,0.016216788440942764,5.041598796844482,0.6710345407787558,0.646095646934611,0.5677766248467127,0.608,129.938,16.448,9.0,1197,,,,,,,
11,0.014716651290655136,4.840493679046631,0.6853641634475591,0.663144565671575,0.5522646362568648,0.6094,129.633,16.409,10.0,1330,,,,,,,
12,0.02949371002614498,6.82326602935791,0.6866139887212485,0.6617120318578417,0.396044148732296,0.6225,126.911,16.065,11.0,1463,,,,,,,
13,,,,,,,,,11.28,1500,0.0151,2.6165413533834584e-05,,,,,
14,0.01492603961378336,4.830021858215332,0.6969651607032474,0.6678860342875688,0.534374006656122,0.6232,126.772,16.047,12.0,1596,,,,,,,
15,0.014091681689023972,4.74808406829834,0.6841204640974465,0.6548798508362165,0.5341233495302624,0.6131,128.854,16.311,13.0,1729,,,,,,,
16,0.03251463174819946,7.166200637817383,0.6576472690553342,0.6309607250483156,0.34983767318200654,0.6197,127.473,16.136,14.0,1862,,,,,,,
17,0.025779850780963898,6.4395928382873535,0.6661829211894972,0.6347318339456072,0.4186772686671355,0.6283,125.738,15.916,15.0,1995,,,,,,,
18,,,,,,,,,15.04,2000,0.0138,1.4887218045112781e-05,,,,,
19,0.026444990187883377,6.506082534790039,0.6651871133928065,0.6431742967218209,0.4301327218865587,0.6158,128.298,16.24,16.0,2128,,,,,,,
20,0.026918573305010796,6.543911933898926,0.6722996799707344,0.644735420629583,0.4185930837321382,0.6235,126.711,16.039,17.0,2261,,,,,,,
21,,,,,,,,,17.0,2261,,,318.2013,66.436,8.359,5201586971298816.0,0.017020031183707613
22,0.012619194574654102,4.564542770385742,0.7641689934876731,0.7824275964722374,0.6257776792447975,0.7664,126.561,16.962,17.0,2261,,,,,,,
