,eval_loss,eval_accuracy,eval_f1_score_avg,eval_f1_score_macro,eval_f1_score_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.20783589780330658,0.9291694248666329,0.9291694248666329,0.5691674751894676,0.9145471590919426,2.2459,118.438,15.139,1.0,133,,,,,,,
1,0.14937496185302734,0.9559985981854289,0.9559985981854289,0.7574195439261041,0.9554529758216379,2.2388,118.811,15.186,2.0,266,,,,,,,
2,0.14839565753936768,0.950449748841556,0.950449748841556,0.7345737840931035,0.945605501959175,2.2366,118.929,15.201,3.0,399,,,,,,,
3,,,,,,,,,3.76,500,0.2296,0.00037468671679198,,,,,
4,0.14046140015125275,0.9540516335033683,0.9540516335033683,0.7564806826367847,0.9504029755151844,2.2456,118.453,15.141,4.0,532,,,,,,,
5,0.11566290259361267,0.9645068338460341,0.9645068338460341,0.8020431995941841,0.9630717704151331,2.2274,119.42,15.264,5.0,665,,,,,,,
6,0.12541045248508453,0.9632413068026946,0.9632413068026946,0.8058355095385952,0.9631851768329462,2.2472,118.367,15.13,6.0,798,,,,,,,
7,0.11473516374826431,0.9633191853899771,0.9633191853899771,0.8060485003976069,0.9620535291468197,2.233,119.122,15.226,7.0,931,,,,,,,
8,,,,,,,,,7.52,1000,0.1353,0.0002493734335839599,,,,,
9,0.11586552858352661,0.9629882013940267,0.9629882013940267,0.7960690281774261,0.9599987572540776,2.2519,118.123,15.098,8.0,1064,,,,,,,
10,,,,,,,,,8.0,1064,,,167.4991,94.657,11.911,2421005232070656.0,0.17913887823434702
11,0.11735646426677704,0.9639280714977926,0.9639280714977926,0.8084720928757876,0.9632973492964553,2.0562,118.178,15.076,8.0,1064,,,,,,,
