,eval_loss,eval_rmse,eval_pearson,eval_spearman,eval_kappa,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,learning_rate
0,0.018318934366106987,5.416804790496826,0.39456624775015414,0.4097189374897197,0.17038238652735815,0.6096,129.583,16.403,1.0,133,,
1,0.022235173732042313,5.980982303619385,0.41547419827195387,0.43271333680380436,0.23663193185206677,0.6058,130.401,16.507,2.0,266,,
2,0.019763784483075142,5.614177227020264,0.5463709895315101,0.56570555246922,0.3395039525533735,0.6155,128.352,16.247,3.0,399,,
3,,,,,,,,,3.76,500,0.0282,4.87218045112782e-05
4,0.015038381330668926,4.946549892425537,0.5171838987119366,0.5469550676703281,0.37675914556851897,0.612,129.083,16.34,4.0,532,,
5,0.015907330438494682,4.9885945320129395,0.5209720117860379,0.5580473674779084,0.37521694540864636,0.607,130.147,16.474,5.0,665,,
6,0.02553165704011917,6.421876907348633,0.549344264929085,0.5729240976304601,0.306291277789836,0.607,130.139,16.473,6.0,798,,
7,0.01851200871169567,5.427309989929199,0.5607249597449756,0.5648249246997364,0.4074688381508006,0.6211,127.196,16.101,7.0,931,,
8,,,,,,,,,7.52,1000,0.0217,3.744360902255639e-05
9,0.01632121577858925,5.107700824737549,0.5660022686607334,0.5694394154784221,0.42233020155025414,0.6096,129.596,16.405,8.0,1064,,
10,0.014257830567657948,4.77069091796875,0.5848728410043578,0.5720817723722974,0.4877052771789614,0.6106,129.384,16.378,9.0,1197,,
11,0.020350422710180283,5.740153789520264,0.5761423910873367,0.5888233092392875,0.36391898222969565,0.6079,129.955,16.45,10.0,1330,,
12,0.019878968596458435,5.645654678344727,0.5898576947624119,0.6065655048748618,0.4094592706441247,0.6272,125.962,15.945,11.0,1463,,
13,,,,,,,,,11.28,1500,0.0177,2.6165413533834584e-05
14,0.01597081683576107,5.057892799377441,0.6210100912957596,0.612772118272073,0.4650372099221075,0.6097,129.57,16.401,12.0,1596,,
15,0.02280544303357601,6.039951324462891,0.5987765247951533,0.6096793021656464,0.36009517246759326,0.6064,130.275,16.49,13.0,1729,,
16,0.011542332358658314,4.305355072021484,0.7699464877983703,0.7695998910695696,0.6245776421682059,0.7808,124.229,16.649,13.92,1851,,
