,eval_loss,eval_rmse,eval_pearson,eval_spearman,eval_kappa,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.019249482080340385,5.550687313079834,0.7016468565282324,0.6902991562579976,0.4971059255566229,0.4603,171.622,10.862,1.0,67,,,,,,,
1,0.017438126727938652,5.2986741065979,0.7019988637808692,0.6921216433830711,0.52390821896842,0.4676,168.944,10.693,2.0,134,,,,,,,
2,0.018982399255037308,5.528980255126953,0.7044760571196368,0.6951607376067639,0.5029578442757906,0.4745,166.507,10.538,3.0,201,,,,,,,
3,0.019102465361356735,5.528980255126953,0.7095800229194023,0.7019245183595347,0.5037192672271553,0.4703,167.967,10.631,4.0,268,,,,,,,
4,0.016761910170316696,5.208318710327148,0.6995267291627045,0.6997655438836943,0.5310307609282244,0.471,167.737,10.616,5.0,335,,,,,,,
5,0.016882697120308876,5.182736873626709,0.7123525710391695,0.7049052765655862,0.5290587555077058,0.4747,166.409,10.532,6.0,402,,,,,,,
6,0.016886010766029358,5.196152210235596,0.7023370461229957,0.7021246962770278,0.5345766816699686,0.4692,168.359,10.656,7.0,469,,,,,,,
7,,,,,,,,,7.46,500,2.619,2.009950248756219e-05,,,,,
8,0.015408280305564404,4.996201038360596,0.7014271630943678,0.6953014777481082,0.5568948989373637,0.4679,168.848,10.687,8.0,536,,,,,,,
9,0.01670384220778942,5.139817237854004,0.7107805950763006,0.7094605323578694,0.5394540169886421,0.4703,167.966,10.631,9.0,603,,,,,,,
10,0.016328975558280945,5.1002607345581055,0.7029541987111838,0.7060063038630383,0.5471659912309526,0.4624,170.833,10.812,10.0,670,,,,,,,
11,0.01735890656709671,5.2615156173706055,0.7063485624254358,0.7001132975321376,0.5272384876627662,0.4745,166.496,10.538,11.0,737,,,,,,,
12,0.01756841503083706,5.286715984344482,0.7055412433066863,0.6973153170317512,0.5254709505917234,0.462,171.005,10.823,12.0,804,,,,,,,
13,0.016568124294281006,5.127488613128662,0.6997436936227889,0.7036241593158388,0.5431230883690171,0.4674,169.033,10.698,13.0,871,,,,,,,
14,0.017379598692059517,5.271130084991455,0.7073789879896536,0.6993488093629929,0.5283710281360019,0.4763,165.869,10.498,14.0,938,,,,,,,
15,,,,,,,,,14.93,1000,0.1374,1.9900497512437812e-07,,,,,
16,0.017281705513596535,5.22651481628418,0.7095152615104443,0.7032690434190729,0.5318025778871689,0.4759,166.0,10.506,15.0,1005,,,,,,,
17,,,,,,,,,15.0,1005,,,105.5987,150.144,9.517,2100233150346240.0,1.3713588643429884
18,0.013914179988205433,4.734170436859131,0.7792636430107545,0.7827034917272796,0.6131725138505717,0.5751,168.663,12.172,15.0,1005,,,,,,,
