,eval_loss,eval_rmse,eval_pearson,eval_spearman,eval_kappa,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,2.755509853363037,24.530271530151367,0.7060715687142042,0.7182237450070289,0.05928546257032552,0.7848,100.664,6.371,1.0,67,,,,,,,
1,2.7568399906158447,29.962846755981445,0.5746919603972709,0.5786444703470938,0.047119762048601466,0.7707,102.506,6.488,2.0,134,,,,,,,
2,2.7556068897247314,27.597009658813477,0.6989728400968916,0.7030224862583702,0.06013503755054894,0.7817,101.061,6.396,3.0,201,,,,,,,
3,2.7556192874908447,26.974672317504883,0.682923871891353,0.701190651828071,0.06253217617573636,0.7654,103.209,6.532,4.0,268,,,,,,,
4,2.7559688091278076,27.756628036499023,0.6709030103257365,0.685203630848414,0.06124075444521382,0.7794,101.362,6.415,5.0,335,,,,,,,
5,2.7556211948394775,23.575088500976562,0.6541922635222401,0.6722198779286149,0.06375854091818756,0.7799,101.299,6.411,6.0,402,,,,,,,
6,2.75488018989563,24.597518920898438,0.6948353978858606,0.6931469978551643,0.059052302333547746,0.7756,101.853,6.446,7.0,469,,,,,,,
7,,,,,,,,,7.46,500,2.7292,3.0049751243781097e-05,,,,,
8,2.7531001567840576,20.797698974609375,0.6981604434330622,0.6997879794033207,0.07609837215020865,0.7802,101.254,6.408,8.0,536,,,,,,,
9,2.748917579650879,13.918842315673828,0.6661556658145534,0.6792551052092987,0.12881497717978785,0.7873,100.342,6.351,9.0,603,,,,,,,
10,2.7363650798797607,10.285789489746094,0.6905875051023502,0.6948625410769765,0.2400169133387785,0.7726,102.249,6.471,10.0,670,,,,,,,
11,2.7034265995025635,4.350178241729736,0.7201515673768517,0.7171062850469356,0.6289344196458193,0.7768,101.698,6.437,11.0,737,,,,,,,
12,2.6204912662506104,5.070390701293945,0.7170747803257322,0.7132032374292344,0.6193464437542923,0.7754,101.886,6.448,12.0,804,,,,,,,
13,2.4218857288360596,5.632185935974121,0.6887809852928682,0.6810717546674708,0.5411843436556433,0.775,101.933,6.451,13.0,871,,,,,,,
14,2.011538505554199,5.013904571533203,0.714744322765771,0.7326371532500574,0.5983360844766363,0.7793,101.374,6.416,14.0,938,,,,,,,
15,,,,,,,,,14.93,1000,2.4853,2.009950248756219e-05,,,,,
16,1.383122444152832,4.209693431854248,0.7143990183997271,0.7191751238065599,0.6532354434334362,0.787,100.382,6.353,15.0,1005,,,,,,,
17,0.7606825828552246,5.260312557220459,0.6921071645540094,0.6988336988300925,0.566921447807633,0.7706,102.512,6.488,16.0,1072,,,,,,,
18,0.35159236192703247,5.354520320892334,0.689584415418029,0.686816337102138,0.5328994543090142,0.7774,101.622,6.432,17.0,1139,,,,,,,
19,0.159084290266037,6.235869884490967,0.697202142741476,0.6954782724984766,0.4648919533164966,0.7793,101.378,6.416,18.0,1206,,,,,,,
20,0.06542611122131348,4.725368976593018,0.6907026138364383,0.6902880705165092,0.6176205956720191,0.7769,101.685,6.436,19.0,1273,,,,,,,
21,0.03713808208703995,5.2950897216796875,0.6961423952857466,0.7012408267937232,0.5435084725100573,0.7905,99.942,6.325,20.0,1340,,,,,,,
22,0.025669585913419724,5.444774627685547,0.7015584293801097,0.7139432889532807,0.5322507257991129,0.7697,102.639,6.496,21.0,1407,,,,,,,
23,0.019064446911215782,5.148429870605469,0.6919807201215789,0.7091146322075539,0.5739153504553856,0.7744,102.011,6.456,22.0,1474,,,,,,,
24,,,,,,,,,22.39,1500,0.2734,1.0149253731343284e-05,,,,,
25,0.0190093033015728,5.375754356384277,0.7002819846637712,0.7086489453234636,0.5546140321025466,0.7755,101.871,6.448,23.0,1541,,,,,,,
26,0.013285558670759201,4.543739318847656,0.705761937971626,0.7146034156762779,0.6507030667592093,0.7808,101.18,6.404,24.0,1608,,,,,,,
27,0.020404236391186714,5.675842761993408,0.701642620735025,0.7157683382579281,0.5136122713444309,0.7725,102.261,6.472,25.0,1675,,,,,,,
28,0.015415252186357975,4.93630313873291,0.7103601961254401,0.720950405666265,0.6009436580627255,0.7768,101.695,6.436,26.0,1742,,,,,,,
29,0.014501586556434631,4.845721244812012,0.7111391899731226,0.7175252680040088,0.6106424684214151,0.7735,102.137,6.464,27.0,1809,,,,,,,
30,0.017775150015950203,5.441286087036133,0.6958345190851197,0.7001912562583448,0.5310305089754008,0.7729,102.213,6.469,28.0,1876,,,,,,,
31,0.017865264788269997,5.371042728424072,0.7085193588296846,0.711112598115126,0.5530335731067508,0.7802,101.251,6.408,29.0,1943,,,,,,,
32,,,,,,,,,29.85,2000,0.0027,1.9900497512437812e-07,,,,,
33,0.01753876730799675,5.332014560699463,0.7042352564535734,0.7070679339905188,0.5462846524619559,0.784,100.766,6.378,30.0,2010,,,,,,,
34,,,,,,,,,30.0,2010,,,906.7052,34.973,2.217,4200466300692480.0,1.3658217501191803
35,0.013906233012676239,4.7493896484375,0.7766891908206393,0.7843742735318487,0.6436598444098236,0.9567,101.389,7.317,30.0,2010,,,,,,,
